id,venda_id,produto_id,nome_produto,quantidade,preco_original,preco_vendido,desconto,bonus,subtotal,created_at,custo_unitario,kit_id,item_type
c8a3ad05-be65-41b2-8785-91d5d1d13f2c,e98b8220-d50b-426a-8945-55f3d1796a67,2d3cefe8-94b5-44f9-af39-e2716e18e8db,Force Vector,1,120,120,10,false,110,2026-03-15T02:41:16.571564+00:00,65,,produto
c6339238-b606-476d-995b-d7eeadf01346,e98b8220-d50b-426a-8945-55f3d1796a67,14854fa5-61bc-4e40-99af-610c7e95fc75,Shine Parfum,6,30,30,0,false,180,2026-03-15T02:41:16.571564+00:00,18,,produto
75fba653-5295-4a92-b9ee-2aea84e08777,e98b8220-d50b-426a-8945-55f3d1796a67,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,1,40,40,5,false,35,2026-03-15T02:41:16.571564+00:00,21,,produto
ac660dd9-0646-4eaf-bdbd-fc129cdc561e,e98b8220-d50b-426a-8945-55f3d1796a67,e8825e5c-d8b2-4c83-bc19-ba63bc6743d3,Serum Repair Macadâmia,2,30,30,10,false,50,2026-03-15T02:41:16.571564+00:00,15,,produto
a3804e8d-16ec-40fd-a83f-9891f4e05f68,e98b8220-d50b-426a-8945-55f3d1796a67,d770f4a4-1cdd-44ab-b37c-b50b5b4215ce,Dream Curly - At. Cachos,1,60,60,10,false,50,2026-03-15T02:41:16.571564+00:00,32,,produto
739af828-4b2f-41d9-b952-128fa820eca2,f29a0278-0756-4fed-bf4d-8b52fbcaf327,d3bdc39a-4199-4936-b462-7a6b87f0d220,Supreme Liss - Prog. Orgânica,1,300,300,0,false,300,2026-03-15T02:46:14.927836+00:00,80,,produto
8ecdceb3-9d69-465b-84e9-2015b85954a5,f29a0278-0756-4fed-bf4d-8b52fbcaf327,729754d1-6c91-4956-8e70-9acdee255936,Botox Bio Vegano 1KG,1,200,200,0,false,200,2026-03-15T02:46:14.927836+00:00,65,,produto
959af198-ca12-4102-be2a-0aaed2d57bbe,93478b13-b7d7-4f04-b846-f37781832136,4cf02afa-5f5c-4c35-aebe-009b762a5e65,Cronograma 4 Passos,2,120,120,40,false,200,2026-03-15T02:48:02.238568+00:00,65,,produto
60223d55-a19d-481f-b564-ebe884e277a1,93478b13-b7d7-4f04-b846-f37781832136,d770f4a4-1cdd-44ab-b37c-b50b5b4215ce,Dream Curly - At. Cachos,1,60,60,10,false,50,2026-03-15T02:48:02.238568+00:00,32,,produto
d58a585a-cd0c-4358-bcb0-0bce54a23d3c,93478b13-b7d7-4f04-b846-f37781832136,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,3,40,40,15,false,105,2026-03-15T02:48:02.238568+00:00,21,,produto
29d83fe6-b116-47ea-b872-40a5b5172c22,ab32dbca-de7c-46ee-ac4e-b34a648bd3cf,7d91e638-7ce4-4fc5-ad43-22a4aac9b6d5,Defrizante 500ML,1,50,50,0,true,0,2026-03-15T02:51:23.152193+00:00,22,,produto
1d0e72e9-dd33-440e-b130-16ab47a68d57,ab32dbca-de7c-46ee-ac4e-b34a648bd3cf,d770f4a4-1cdd-44ab-b37c-b50b5b4215ce,Dream Curly - At. Cachos,2,60,60,0,false,120,2026-03-15T02:51:23.152193+00:00,32,,produto
9f895fcd-0383-4279-b940-93006e75b867,ab32dbca-de7c-46ee-ac4e-b34a648bd3cf,14854fa5-61bc-4e40-99af-610c7e95fc75,Shine Parfum,1,30,30,0,false,30,2026-03-15T02:51:23.152193+00:00,18,,produto
a31c6a5a-7366-488f-830e-15f8d10c224a,ab32dbca-de7c-46ee-ac4e-b34a648bd3cf,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,3,40,40,15,false,105,2026-03-15T02:51:23.152193+00:00,21,,produto
4b3ff3c8-f58c-4dce-87fe-04246d88366d,ab32dbca-de7c-46ee-ac4e-b34a648bd3cf,e8825e5c-d8b2-4c83-bc19-ba63bc6743d3,Serum Repair Macadâmia,3,30,30,0,false,90,2026-03-15T02:51:23.152193+00:00,15,,produto
aac9ea03-701c-4b73-b3b3-580c43a0586a,da5d3a54-75c6-49ed-b5be-8deb27f53d0d,d3bdc39a-4199-4936-b462-7a6b87f0d220,Supreme Liss - Prog. Orgânica,2,300,300,0,false,600,2026-03-15T03:01:41.0956+00:00,80,,produto
0e4007f3-993a-4ff1-af62-3401e33c0533,da5d3a54-75c6-49ed-b5be-8deb27f53d0d,95d635ee-30e7-4c5a-b8bc-77475fc3f472,Shampoo 5L Arginina + Keratina,1,100,100,0,true,0,2026-03-15T03:01:41.0956+00:00,50,,produto
8b93fafd-fa18-4664-a669-5169578f5e3b,da5d3a54-75c6-49ed-b5be-8deb27f53d0d,e8825e5c-d8b2-4c83-bc19-ba63bc6743d3,Serum Repair Macadâmia,3,30,30,15,false,75,2026-03-15T03:01:41.0956+00:00,15,,produto
65dee418-cb15-40fd-a766-0fb835331582,da5d3a54-75c6-49ed-b5be-8deb27f53d0d,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,3,40,40,15,false,105,2026-03-15T03:01:41.0956+00:00,21,,produto
6d234f5e-82a3-4642-a520-801354725444,c0a07577-cae6-49d1-8484-0c22ea2b6ad1,729754d1-6c91-4956-8e70-9acdee255936,Botox Bio Vegano 1KG,1,200,200,0,false,200,2026-03-15T03:04:56.384541+00:00,65,,produto
1bfb967c-ff4f-4f71-8134-1a0b1c83ae7c,0fd5f272-73b6-4341-a55d-646849364e2b,d3bdc39a-4199-4936-b462-7a6b87f0d220,Supreme Liss - Prog. Orgânica,1,300,300,0,false,300,2026-03-15T03:05:37.426489+00:00,80,,produto
67379ebf-0725-4edd-9d5b-81e08ef9c7dc,0fd5f272-73b6-4341-a55d-646849364e2b,e8825e5c-d8b2-4c83-bc19-ba63bc6743d3,Serum Repair Macadâmia,1,30,30,5,false,25,2026-03-15T03:05:37.426489+00:00,15,,produto
0464ef02-2007-4385-bf8f-143c41333462,a35cf0ea-ce81-4b91-b216-441f0c379e66,7d91e638-7ce4-4fc5-ad43-22a4aac9b6d5,Defrizante 500ML,1,50,50,0,false,50,2026-03-15T03:05:57.859605+00:00,22,,produto
1ca84593-6781-4d21-8bfd-812d224b497b,78300772-d6ad-4782-913f-e773879b139a,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,3,40,40,15,false,105,2026-03-15T03:06:55.026523+00:00,21,,produto
35505916-5d45-41e6-8c97-216d35dd01b0,c06b8bfb-229a-4972-b889-2a6f25bad6dc,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,4,40,40,20,false,140,2026-03-15T03:08:30.149772+00:00,21,,produto
de3fa2de-9ee6-49bd-97ba-5915b5210607,c06b8bfb-229a-4972-b889-2a6f25bad6dc,14854fa5-61bc-4e40-99af-610c7e95fc75,Shine Parfum,4,30,30,0,false,120,2026-03-15T03:08:30.149772+00:00,18,,produto
68884591-668d-4c12-9f9b-3b3adf08451f,3bd8b9c1-e092-41cf-ae7c-8b5a492d487a,7dda8c61-2850-4ed5-873f-efd2f2e10e09,Ojon Repais 60 ML,1,40,40,5,false,35,2026-03-15T03:09:44.684315+00:00,21,,produto
28414055-a8c0-4800-a4de-d718dbfcabaf,3bd8b9c1-e092-41cf-ae7c-8b5a492d487a,d3bdc39a-4199-4936-b462-7a6b87f0d220,Supreme Liss - Prog. Orgânica,1,300,300,0,false,300,2026-03-15T03:09:44.684315+00:00,80,,produto
52aad011-9870-4975-998f-5fd4e5fce697,a0208306-ed55-4cae-ac28-a0ce5f0a9df7,14854fa5-61bc-4e40-99af-610c7e95fc75,Shine Parfum,2,30,30,0,false,60,2026-03-15T03:16:17.741661+00:00,18,,produto
36a34a61-1cda-45bb-b0bc-736b2b3dede1,a0208306-ed55-4cae-ac28-a0ce5f0a9df7,4cf02afa-5f5c-4c35-aebe-009b762a5e65,Cronograma 4 Passos,2,120,120,20,false,220,2026-03-15T03:16:17.741661+00:00,65,,produto
0df3361c-a56e-4437-ac1f-1ff1fffcb12e,ffcaf195-600f-47af-9316-c9bb81b85efe,c2f9db98-c196-4eea-9d1a-b3a7f4b50718,Extreme cauterizze 4 passos 2 em 1,1,400,400,50,false,350,2026-03-15T03:17:54.638013+00:00,140,,produto
6cb34784-385a-4c39-b97d-957f8a808194,007c1f91-4678-4dc3-8169-2756647da218,c2f9db98-c196-4eea-9d1a-b3a7f4b50718,Extreme cauterizze 4 passos 2 em 1,1,400,400,0,false,400,2026-03-15T03:22:27.851004+00:00,140,,produto
1e9645ec-a2a8-4523-822a-c96489884d6d,007c1f91-4678-4dc3-8169-2756647da218,d3bdc39a-4199-4936-b462-7a6b87f0d220,Supreme Liss - Prog. Orgânica,1,300,300,0,false,300,2026-03-15T03:22:27.851004+00:00,80,,produto
8ca605f9-7c07-4b90-a73f-3852083e3a25,b353cafc-6b93-41a1-b5dc-88ce998033ac,4cf02afa-5f5c-4c35-aebe-009b762a5e65,Cronograma 4 Passos,4,120,120,80,false,400,2026-03-15T03:24:37.186574+00:00,65,,produto
